,season,episode,speaker,text_bound
10,1,1,ranjit ,"Actually, I'm from Bangladesh. Here's a picture of my wife! (Shows picture)  I swear. aww. To one hell of a night!"
11,1,1,robin ,"Let me guess, (points) Ted? I'm a reporter for Metro News 1. Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon. Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy"". She would love that! It does look fun in the movies. Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it. Yeah, he's going to eat it too, it's another record.  Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun. Wow that is one bad-ass blue French horn. Mhmm. I've got five dogs. I love a scotch that's old enough to order its own scotch. Ray, when someone asks you if you're a god you say, ""Yes!"" Do you want these? (Holding up remaining olives from her plate) I hate olives. You know, I've had a jar of olives just sitting in my fridge forever.  they're all yours. I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French. No. It's a smurf pen1s, we're no dice. Um, alright. I'll be right there. (To Ted) I'm sorry. I had a really great time tonight. ...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from  Metro One News, back to you bill. I've got five dogs.  Ted? Come on up. So, Ted. What brings you back to Brooklyn at one in the morning in a-suit. Would you like those olives with some Gin and Vermouth? For starters (turns music on. Leaves to the kitchen) I think I like your ""Olive Theory"". I think I like your nose. What? You love me? Hold on. (Gets up) Wait a minute. (Hands him Olives) Promised you these. Good night, psycho (smiles). (Ted sarcastically clutches heart. Realizes friends left him) Oh, um-two blocks (comes out) that way (points) and take a right. Everyone thinks they're a good kisser. Good night, Ted. (Shake hands.) that's a pretty great hand shake. (Looks him in the eyes)"
12,1,1,robin's dumped friend," Hey, what's taking so long?"
13,1,1,son ,Are we being punished for something? Aunt Robin?
14,1,1,son and daughter, What?
15,1,1,ted ,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor. Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things. It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight. Hey, you wanna do something tonight? Hey. I did that one time. You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"". Oh, right. Hi. I'm not wearing a suit. Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff. You're my best friend, Barney. Wai-no, no, no. We're not playing ""Have You Met Ted?""  Hi, I'm Ted. It's a very pretty name. I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now. Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh? Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!  you wanna go out sometime? Sup, Carl? Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down. It's always been ""don't even think about it till you're thirty"" Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" (Spots Robin) Hey Barney, see that girl? So what do you do?  Oh. Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy. You know if you don't make your friend feel better you could throw a drink at my face. I don't mind. Hey, you wanna have dinner with me Saturday night? That's going to take a week? Uh, I know this is a long shot, but how about tomorrow night? We're going out tomorrow night. Yeah, I was never going to go play laser tag. (Wipes alcohol off his face) Yeah. Sort of looks like a... Smurf pen1s. Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman? And I'm saving the best for last. The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive).  I can take them off your hands. No Green Clarinet? Come on, no purple tuba? Yeah. No. The moment wasn't right. (They sigh) Look, this woman could be my future wife; I want our first kiss to be amazing. What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college. Hey, listen. I need your opinion on something. So these guys think I chickened out. What do you think? She didn't even give me the signal. Not if you don't get the signal. Urgh, I should've kissed her. What about when she gets back from Orlando? There she is... I'm goanna go kiss her. Right now. I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death. I'm doing this. (Starts to leave) (To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something. Excuse me, pardon me. (grabs the Blue French Horn) Enjoy your coffee. (Runs away) go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers.  Okay. Moment of truth. Wish me luck. (Exhales) Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab) Not good, not good, not good, not good. Hi! (Silence) I was just uh-(hold up Smurf pen1s, aka French Horn) I was just hoping to get those olives... that you said I could have. Are you trying to get me drunk?  Thank you. I think I like your French Horn. I think I'm in love with you. So Orlando, you goanna hit Disney World? Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. (Gets up) Olives. Thanks. I love you. What's wrong with me? So when you tell this story to your friends, could you avoid the word ""psycho""? I prefer...eccentric. Great (before Robin closes the door) Umm... how do I get to the F Train? (upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser. Oh, I've got references. And I'm a good hand shaker And that was it, probably never see her again. (Silence) What? Carl!? (turns to friends) You guys weren't there. Guys, trust me. I've seen the signal. That was not the signal. That was not the signal!"
16,1,1,waitor ,"Hey, HEY!"
17,1,1,yasmine ,"Yasmine. Thanks, It's Lebanese. So do you think you'll ever get married? Actually, I think it's cute. I'm sorry; Carl's my boyfriend (points to bartender)"
18,1,1,,"Marshall:...she drinks scotch? Ted:...Barney? Lily, Marshall and Barney: What? Narrator:... it happens whether you plan it or not. I mean I... Narrator:... never thought I'd see that girl again. But it... Narrator:...turns out, I was just too close... Narrator:...to the puzzle to see the picture that was forming. Because that kids... Narrator:...is the true story, of how I met your Aunt Robin. Narrator:...it's a long story."
19,1,2,barney ,"I suggest we play a little game I like to call, ""Have you Met Ted?"" (Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)  No! As your sponsor I will not let you relapse. You blew it; it's over-move on. Yeah, cuz nothing says ""Casual"" like inviting a hundred people over just to ""Mac"" on one girl. Oh, and Lily-that's my leg. What's so special about the roof? Solid plan, my little friend. But may I suggest one little modification. That foxy young thing you were chatting up, take her up to the roof and have s*x with her! Crazy monkey-style. Should be the plan, I mean look at her. Ted, look at her. She's smokin'! Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this? Aargh! (Pulls down imaginary scope) Scoping, beep, scoping, beep! beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call ""Have You Met Ted?""  Hi! Have you met Ted? Do you know Marshall? Lily? Hmm, do you know anyone at this party? Excuse me, (to group) Anyone know a Carlos? On a silver platter! Bon appetite! Your loss, her gain. (To Tatiana) Excuse me, can I show you the roof? It's magical up there! Dude, Robin's not coming. Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her? She said she works with Carlos, who's Carlos? Grr. (Turns around) Hi, you. You're back. ""sweetie""? Really? (They walk into the kitchen Barney mouths) Sweetie? So, it's over between me-and-works with Carlos girl. Yeah, I was trying to think what's the quickest way to get rid of a girl you just met? I think I'm in love with you. Thanks, bro (walks away) Oh, this is lame. lame. Of course. Who? Who invited you? No one even know who you are! Who is Carlos!? Yeah well, ""the one"" is heading up to ""the roof"". (Robin leaves to the roof with Carlos) Unbelievable. That is just a recipe for disaster, they work together (Carlos and Tatiana are making out) Oh, please, what does Carlos have that I don't? I'm not sure I like her."
20,1,2,barney and ted, Ohhh.
21,1,2,cameraman ,We're clear
22,1,2,carlos ,"Carlos (shake hands) Hey, no sweat hombre."
23,1,2,crowd ," No, no."
24,1,2,daughter ,"You were telling us how you met mom. Oh, Dad."
25,1,2,fantasy girl, Thank you.
26,1,2,leroy ,You're all sweaty!
27,1,2,lily ,"Look who I ran into! What? Fine! So what do we think of Ted? But that's part of his charm. Are you kidding? This flapper-for knocks.  Oops... Did you guys get high? You waited five minutes to tell me that? that's great, Ted. You'll be the most ""Casual"" stalker ever. Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any. Not slightly. Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof. Man you're a dork. No. At least it was a great party. Answer it! Oh! I'm the luckiest girl alive (runs into bedroom. Marshall strips.) Hey little old books. Ready for a little fifteen minute recess? Okay, buddy, time for the ""tough-talk"". Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them. Stop the tape, rewind-play it again."
28,1,2,lily and marshall, (Gloating) The roof.
29,1,2,lily and ted, I will not have s*x with Marshall.
30,1,2,marshall ,"So you're not goanna call her? You went from, ""I think I'm in love with you"" to ""I'm not gonna call her?"" So're you gonna ask her out? We're having a party next Friday? Alright-so call her up! Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,  No underwear? Hello? No, no I'm just writing my paper. Hitting the books. So, Gatsby, what are you goanna do when Robin shows up? We do it up there sometimes. I ate like four whole cans of dip! What are you doing to me, man. I got a paper to write. TED! TED WAIT-GET FRENCH ONION. (Closes door) Can you believe this guy, I got a paper to write. (Lily smiles) Okay, fine-(they walk into the bedroom) but it's gotta be like super quick. And no cuddling after. Alright. Sorry, Ted. (Goes up) Alright, we threw two parties. Everybody had fun. Everybody wanged, everybody chunged. Now the kid has got to get to work, and the kid is not to be disturbed. Repeat after me, ""I will not have s*x with Marshall"". Sorry, baby, I gotta work. I need all my blood (points to brain) up here. Has anybody seen an introduction to contract work institution statutes from 1865 to 1923? (Silence) Anybody seen a big-ass book? Okay, where the hell is my-OHH! (Book has been used as coaster, all wet) Okay, introduction to contract work institution statutes from 1865 to 1923...is not a coaster! Ted! I'm jeopardizing my law career so that you can throw not one, not two, but three parties for some girl that you just met who's probably not gonna show up. (Ted's shocked) I mean where is she, Ted, huh? Where's Robin? (Finds Robin) Hi! Hi Robin. (Throws book on the floor and grabs Lily for s*x) What are you gonna do? Dude, you're talking to the kid. I'm goanna knock back this beer. I'm gonna knock back one more beer. I'm gonna go home, I'm gonna write a twenty-five page paper. I'm gonna hand it in and I'm gonna get a A. My name is Rufus, and that's the Trufus."
31,1,2,narrator ,"Okay, where was I? Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, ""Maybe I should get married."" Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in. So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her. Now ever since Marshall put that ring on her finger, Lily had been...well... extra affectionate. She didn't show up. She didn't show up. So I threw a third party for Robin. On a Sunday night (Very Little people in the apartment) He got a B Minus. But still-twenty-five pages in one night, B minus? The kid was good."
32,1,2,robin ,"What? Hey! Uh... since about (points to glass) here. Lily recognized me from the news and-(Lily and Marshall kiss) Hello, Sailor! Well, I should get back to the station. See you guys. (Marshall raises a hand while still kissing Lily) Nice seeing you, Ted.  Ted's something else. Comes on a little strong. Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?  Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus where four year old, Leroy Ellensburg, climbed inside a grab a prize machine (You see child stuck in toy machine) and gotten stuck. And on the pursuit of a stuffed purple giraffe. (Ted appears behind her, leaves nervously) From Metro News One, I'm Robin Scherbatsky. (News report ends)  Thanks. (Notices Ted) Ted? What are you doing here? Yeah, kid stuck in a crane machine, how sweet of you to call it news. Oh, I'm going back home next weekend. It's too bad it's not tonight.  I'm so sorry I missed your party.  Robin.  no I got stuck at work, but they finally got that kid out of the crane machine.  Yeah, they let him keep all the toys. He was in there a long time and little kids have smaller bladders.  I wish your party was tonight.  Hi, Ted.  It's Robin.  I totally wanted to come; I got stuck at work again. I feel like I live there. I'm sorry I missed your party...again.  I guess there's no change your two-dayer turned into a three-dayer.  Wow, okay-well I'll be there. so you threw all these parties for me? Hey. Well, here I am.  you're not crazy. I-I don't know, Ted, I mean we barely know each other and you're looking at me with that look and it's like-(struggles) like-let's fall in love, and get married and have kids and drive them to soccer practice.  It's a great look. But you're looking at the wrong girl. Yes, you are. I don't wanna get married right now, maybe ever and if we got together I'd feel like I'd either have to marry you or break your heart and-I just couldn't do either of those things. Just like you can't turn off the way you feel.  What? There's no off switch.  no, it's not. No (smiles)...it's-not.  me too. we could be friends (shrugs) look, I know it sounds insincere when people say that but... we could. You're not a jackass. I'm sorry. I only moved here in April and I'm always working and-I just haven't met a lot of good people so far. But I understand. yeah. (sighs) That sounds good. I'll see you, Ted. (walks away)  I'd like that. a date tonight?  a date tonight? (smiles) I'll help carry. You know something, Ted? You are a catch. You're gonna make some girl very happy, and I am going to help you find her. Hi, Have you met Ted?"
33,1,2,son ,In excruciating detail... So then what happened?
34,1,2,tatiana ,"No. Hi. No. (smiles) I work with Carlos. Sure (Smiles) I sure am (kisses Barney). Come on, sweetie, I need a drink. What? Hello, Barney. You look well. Isn't it weird they invited both of us? I understand you're hurt, but, you don't have to be cruel. Carlos was right about you."
35,1,2,ted ,"No, no, no-we're not playing ""Have you Met Ted!"" I think I'm in love with you. I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin! Since when do you guys know each other? They just got engaged. Yeah, you too. (Robin leaves, Barney walks closer) Damn it. I'm in love with her. I don't know! I just have this feeling. She's the future Mrs. Ted Mosby. Lily, you squeaked? She said something about me didn't she? Come on, spill it, Red. Huh... I'm gonna spin that as good. Lots of guys are ""something"", I'm ""something else"". But...that's part of my charm. She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the ""happily ever after"" thing but you don't get there unless you play the game. Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? (thinks) I got it! I don't ask her out... I invite her to our party next Friday. We are now-Casual No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a ""chance"" encounter. Guys, boundaries! There she is! 75th in Columbus. (Gets up and grabs coat) Game on! (Leaves)  Robin, wow! What are the odds? Oh, you know, just-uh-Shopping for-uh-dip (holds dip) I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something? (puts dip back) Wow, kid in a crane machine (approached machine. To boy) You just had to have that toy didn't ya? Couldn't play the game like everyone else. Cute kid (wipes forehead) Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.  It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying ""next Friday"" all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.  hey, am I interrupting anything? (Holding party mixes)  Yeah, well you and Lily might wanna put some clothes on. We're throwing a party in two hours. Okay, bye (hangs up) Okay, I got it all planned out. She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, ""Hey, what's up?"" She says, ""Hey, nice place"" etcetera, etcetera. And then I say, ""Well make yourself at home,"" and I casually return to my conversation. Then, an hour later, ""Oh, you're still here?"" I say like I don't really care, but it's a nice surprise. And then very casually, ""Wanna see the roof?"" Get her up to the roof and the roof takes care of the rest. We're the same height. That's not the plan. Yeah, but she's not Robin. Barney, I don't wanna say- No, come on not this. Hi. No. I don't think so. Whoa-whoa-Hey hey. I got that roof reserved! Hey, she's goanna show up. (Silence) She'll show up. You always know what to say old friend. It's Robin. No, no, no. Not right away. I gotta seem casual. (Answers phone) Hello? Who is this? Merideth? Oh, Robin! Hey, yeah, guess you never showed up did you? Did he get to keep the purple giraffe?  It is the party's tonight. (Marshall's mad) Yeah-uh-it's a two day party. Because that's just how we roll. Uh-so if you wanna swing by its-uh-you know, Casual. See ya. (hangs up) So that was Robin. I know I'm sorry. It's terrible (grabs coat) I'll buy more dip (runs out) I have no idea who that is. I don't know any Carlos. Whoa-Whoa rabbits! Come on, I got that roof reserved. Oh, that was fast. (straight-faced) Glad I could help. What the-no, no, no, no-come on! Great! What am I going to do when Robin shows up. (Silence) She'll show up. It's Robin. (sighs. Answers) Hello? Amanda? Oh, Denise-Sorry you totally sounded like Amanda (Does weird hand thing with Marshall) Oh, Robin-(laughs)-Hi. Hey, ain't no thing but a chicken wing mamacita. (To Lily and Marshall) WHO AM I?  It did indeed, the party continues tonight. (Marshall grabs for him, Ted runs away) Yeah. Last night people were like, ""KEEP IT GOIN' BRO! PARTY TRIFECTA!"" Great, see you tonight. (hangs up. Looks to Marshall) So that was Robin. lame or ""Casual""? Or ""Casual""? No! Oh you thought that-oh, no! I c-okay yes. You got me-I-(laughs)-one of the reasons I threw these parties was so that I could introduce you to uh-(Barney throws Ted a random guy) this guy. I figured, you know, since it didn't work out between us and now we can just laugh about it (nervously laughs)-Anyway Robin, this is. She's still talking to Carlos. I can still win this, it's not over. She's not just ""one of them"" she's the one. Nothing. It's a game, I gotta just-keep playing it. Hey. Carlos, can you give us a minute? Robin, look I didn't invite you to this party to set you up with Carlos. Or the one before that. Or the one before that. (Robin smiles) I threw these parties because I wanted to see you. There's something here, look, unless I'm crazy. Like what? I'm not gonna force sports on them unless they're interested. No, I'm not.  Click. Off. Let's make out. What? That was the off switch! And I turned it off. I mean sure yes, I wanna fall in love get married blah, blah, blah, but-on the other hand... you... me...the roof. There is an off switch... and it's off.  yes, it is. (They draw closer) Yes-it is (they kiss long) No it's not. You're right, there's no off switch. God I wish there was an off switch. So (They mutter together. Then laugh) Oh (clutches heart) I don't know, Robin. I made such a jackass out of myself here, every time we start hanging out it'll be like, ""Oh-that's right-I'm a jackass."" Well-uh-maybe in a few months after it's not so fresh, we could all-uh...you know, get a beer. Or, you know-now. (Robin looks at Ted) We could all get a beer now. My friends are goanna love you-like you-you know, as a friend. (Robin giggles) Jackass. You jealous? Hey, don't you have a paper to write? I know it. At least let me buy you a beer. Come on I'll buy everyone a beer. What?  Well, good luck. I mean maybe New York's just too big a town, you know? There's millions of people in this city. How in all this mess is a guy supposed to find the love of his life? I mean, where do you even begin?  Hi, I'm Ted (Robin takes the beer to the table. Ted watches her while the Cute Girl talks to him. Robin looks back. Smiles. Ted engages into a conversation)"
36,1,2,,"Marshall, Lily and Ted: Ohh!! Mashall, Lily and Ted: Ohh!!"
